publisher	country
Sekai Project	United States of America
NeWest Press	Canada
Omnigraphics	United States of America
Spazio Interiore	Italy
Oya	France
International Centre for Higher Studies in Journalism for Latin America	Ecuador
PAGEPress (Italy)	Italy
Minerva Press	United Kingdom
Szczecin Scientific Society	Poland
Universidade Cesumar	Brazil
Editura Tehnică	Romania
Editura Tineretului	Romania
Natives	France
Cluj University Press	Romania
Q18572635	Germany
Fabrizio Serra Editore	Italy
Eichenspinner Verlag	Germany
Mitp Verlag	Germany
Q18629303	Germany
Q18630642	Germany
Q18632362	Austria
KTAV Publishing House	United States of America
Brinio	Netherlands
Strategic Info Research Development	Malaysia
Higher Education Press	China
Docendo	Finland
Banana Press	Finland
Fokus Media	Finland
Kirjakaari	Finland
Lehtimiehet	Finland
Kotimaa	Finland
Grup Enciclopèdia Catalana	Spain
Q18702466	Germany
Wanda Cinemas	China
Coventry House Publishing	United States of America
Cahiers de la Haute-Loire	France
Champ Vallon	France
Rue de Sèvres	France
Q20480124	Belgium
Haifa University Press	Israel
Q20542384	Spain
Q20542554	Spain
Editorial de los Bibliófilos Gallegos	Spain
Q20549628	Spain
Q20550370	Spain
Liesma	Latvia
Accent Press	United Kingdom
Skridoù Breizh	France
Christopher Davies Publishers	United Kingdom
Rily Publications	United Kingdom
Llyfrau'r Dryw	United Kingdom
Éditions du Léopard Masqué	France
Blackstaff Press	United Kingdom
Chariot d'Or	France
Elain Publishing House	Egypt
Morgan James Publishing	United States of America
Robert Hale and Company	United Kingdom
C.A.J. van Dishoeck	Netherlands
Marinscope Community Newspapers	United States of America
Éditions Delagrave	France
Éditions sociales	France
Compañía Iberoamericana de Publicaciones	Spain
Editorial Milenio	Spain
Pagès Editors	Spain
Éditions du Hénnin	France
Edition Salzgeber	Germany
Rainbird Software	England
cbt	Germany
Editions du coq à l'âne	France
Librairie générale française	France
Éditions Hirlé	France
Éditions Lune-Écarlate	France
Society for Cardiovascular Magnetic Resonance	United States of America
Editorial Alrevés	Spain
Q20876188	Spain
J. M. Dent & Sons	England
Založništvo tržaškega tiska	Italy
Q20967189	Netherlands
Charpentier	France
Groupe Madrigall	France
Gottmer publishing group	Netherlands
Q21008885	Netherlands
Q21012505	Czech Republic
Versus Evil	United States of America
Society for Experimental Mechanics	United States of America
Mainichi Shimbun Publishing	Japan
Mandelbaum Verlag	Austria
Klindworth s Hof-Druckerei	Germany
Albino Verlag	Germany
Q21036348	Austria
Palm und Enke Verlag	Germany
Q21036394	Germany
Q21036437	Germany
Bibliomed Medizinische Verlagsgesellschaft	Germany
Kunth	Germany
Raig Verd Editorial	Spain
Editorial Mediterrània	Spain
La Fontaine de Siloé	France
Siesta	Denmark
Springer Nature	Germany
Fragmenta Editorial	Spain
Q21129991	Netherlands
Fibra	Croatia
Acast	Sweden
Q21187471	San Marino
En Masse Entertainment	United States of America
tinyBuild Games	United States of America
Effatà	Italy
Editorial Males Herbes	Spain
DeriveApprodi	Italy
MAG Interactive	Sweden
Forlaget Sohn	Denmark
Röhrig Universitätsverlag	Germany
De Martinis & C. Editori s.r.l.	Italy
SkyBox Labs	Canada
Peeters	Belgium
August House	United States of America
Tri Synergy	United States of America
Mare & Martin	France
Squilibri Editore	Italy
COBDCV	Spain
Pagnerre	France
Horvath	France
BizBooks	Czech Republic
John Wiley & Sons Ltd	United Kingdom
Q21694521	Russia
Aventinum	Czech Republic
Pilote 24 Edition	France
Baudelaire Editions	France
John C. Winston Company	United States of America
R.R. Bowker Company	United States of America
Evropské vydavatelstvo	Czech Republic
Holt, Rinehart, and Winston	United States of America
Springer International Publishing	Switzerland
Q21837019	France
ARPANet	Italy
Carl Gerold’s Sohn Verlag (Gerold Verlag)	Austria
Q21995010	Czech Republic
Deutscher Architektur- und Industrie-Verlag	Germany
Nightboat Books	United States of America
Q22039413	France
Sator Press	United States of America
Sysnet Info-Tech	China
All Money In	United States of America
European Alliance for Innovation	Belgium
Pichon et Didier	France
Impr. de Pollet, Soupe et Guillois	France
Music Maker Publications	United States of America
York Medieval Press	United Kingdom
University Publications Office	Algeria
Q22249445	France
Belin-Le-Prieur	France
Januskevic	Belarus
Radioservis	Czech Republic
Q22583556	Germany
Q22661941	France
Q22666688	France
Verlag F. W. Cordier	Germany
Q22674634	Germany
Verlag der Liebenzeller Mission	Germany
Neocortex	Czech Republic
Yankee Publishing, Inc.	United States of America
Agenda Verlag	Germany
Allgäuer Zeitungsverlag	Germany
Bundesanzeiger Verlag	Germany
Divan Verlag	Germany
Q22691829	Germany
Marta Press	Germany
Mecke Druck und Verlag (Duderstadt, Germany)	Germany
Pendragon Verlag	Germany
Verlag des Österreichischen Gewerkschaftsbundes	Austria
Q22695861	Germany
Q22703669	France
Georges Crès et Cie	France
Q22774434	China
IndraStra Global	United States of America
Facultas	Austria
Q23010729	Germany
Q23016482	Russia
avant-verlag	Germany
Q23017829	Russia
Archie Horror	United States of America
Scribe	Australia
P. F. Volland Company	United States of America
Librairie des bibliophiles	France
Hayden-McNeil	United States of America
G. G. J. and J. Robinson	England
Kitfox Games	Canada
janina-book.com	Ukraine
Van Nostrand	United States of America
Presses universitaires de Rouen et du Havre	France
Laurie & Whittle	England
Zumpres	North Macedonia
Q23686551	Belgium
Ediciones Vigía	Cuba
Librairie Fischbacher	France
Q28543324	Germany
Società Editrice di Musicologia	Italy
Merkur Verlag Rinteln	Germany
Q28646246	France
National Institute of Health	Colombia
Q28669470	Italy
MiHoYo	China
Q28704526	Ukraine
Knygovyr	Ukraine
Q28705727	Ukraine
Q28706386	Ukraine
Ranok	Ukraine
Q28707774	Ukraine
Alma Talent	Finland
Q28735083	Germany
Bengal Foundation	Bangladesh
French Pulp	France
Éditions Goélette	Canada
Artlys	France
W. H. Allen & Co.	United Kingdom
British Cardiovascular Society	United Kingdom
Q28803616	Russia
Juguetes Falomir, S.A.	Spain
Q28823623	Germany
Talpress	Czech Republic
Q28855000	Russia
R & J Dodsley	United Kingdom
Lackington, Allen and Co.	England
Ludonaute	France
Infogrames Interactive	United States of America
Association des anciens élèves et amis des Langues orientales	France
Center for Hellenic Studies	Montenegro
Trifagraph	Morocco
Women's Press Collective	United States of America
Northern House	United Kingdom
Rowney & Forster	England
S. & E. Harding	England
James MacLehose and Sons	Scotland
Lemieux Éditeur	France
L. C. Page & Company	United States of America
Dreamlitt	Denmark
Editorial Zocodover	Spain
thumbspire	United States of America
Editorial Dalya	Spain
Urania Publishers	Czech Republic
Q29059420	Germany
World Publishing Company	United States of America
Heterodox Academy	United States of America
Merlin Unwin Books	United Kingdom
Yakuji Nippo	Japan
Alan Sutton	France
Stenhouse Publishers	United States of America
Q29189489	France
Katapult	Germany
Q29353528	Germany
Q29417421	Germany
GSV Städteatlas Verlag	Germany
Springer Medizin	Germany
Nakladatelství Triáda	Czech Republic
Shumpusha Publishing	Japan
Cunningham & Mortimer	England
Q41708087	France
Mantikore-Verlag	Germany
Toog	Belgium
Verlag J. J. Weber	Germany
Q42034404	France
H. W. Derby & Company	United States of America
Akitaya Ichibei	Japan
Wilhelm Hoffmann AG	Germany
Albatross Verlag	Germany
Pine Grove Music	Canada
The Albertype Co.	United States of America
al-mktb al-islāmī	Lebanon
Q42357708	Germany
Philo-Verlag	Germany
La Technique du Livre	France
Friedhelm Merz Verlag	Germany
Medieval Institute Publications	United States of America
I.W.W. Publishing Bureau	United States of America
Black and Red Press	United States of America
Q42904276	Finland
Editorial SEPT	Spain
Q42916739	Germany
AME Publishing Company	Hong Kong
The Globe and Mail	Canada
Soldiershop	Italy
Eikon Grafik-Presse	Germany
Editorial Claret	Spain
Splotter Spellen	Netherlands
Q43398464	France
Q43539975	England
Estes and Lauriat	United States of America
Q23725737	Greece
Burda International CZ	Czech Republic
Night School Studio	United States of America
Schuberth & Co.	Germany
Kistner	Germany
Q23786464	Germany
Q23787847	Germany
Mosigra	Russia
Vernor, Hood & Sharpe	England
Sherwood, Jones, and Co	United Kingdom
Boydell & Co	England
Yellow Kite	United Kingdom
Verlag Kirchschlager	Germany
John & Frederick Harwood	England
Q23902973	Germany
La nave di Teseo	Italy
Éditeurs français réunis	France
Q23956693	Germany
Gaberbocchus Press	United Kingdom
Q24053228	France
Punctum	Spain
Archibald Constable & Co.	United Kingdom
Vergangenheitsverlag	Germany
Brace Yourself Games	Canada
DharmaGaia	Czech Republic
Jacob Dijkstra's Uitgeverij	Netherlands
Wrightson & Webb	England
Q24083927	France
Edicions del Pirata	Spain
Burkitt and Hudson	England
S & J Fuller	United Kingdom
Poole and Boult	England
Q24147116	France
Editorial MAD	Spain
Simpkin and Marshall	United Kingdom
White and Co.	England
Canon Press	United States of America
Catherall and Prichard	United Kingdom
Bartholomew F. Lloyd & Co	Scotland
T Cadell Jun And W Davies Strand London	United Kingdom
Bowles and Carver	England
E. Gambart & Co.	England
Dean and Munday	United Kingdom
Evans & Gresty	United Kingdom
Hannah White & Sons	Wales
George Philip & Son	England
Allen & West	United Kingdom
Harrison & Co.	United Kingdom
Hodgson & Co.	England
Hodgson, Boys & Graves	England
Ivey & Pearse	United Kingdom
Center for Migration Studies of New York	United States of America
A. L. Burt Company	United States of America
Joseph Gleave & Son	England
Joshua & William Eddowes	United Kingdom
Jee & Eginton	England
Jeffryes & Co.	England
Lloyd Brothers & Co.	England
Jukes & Sarjent	England
Moon, Boys & Graves	England
Poole & Harding	United Kingdom
Maclure, Macdonald & Macgregor	United Kingdom
Rodwell & Martin	England
Harding, Triphook & Lepard	England
Random & Stainbank	England
Saunders & Otley	England
Virtue, Spalding & Co.	England
W. Baynes & Son	England
William Bird & Son	United Kingdom
Renshaw & Kirkman	England
Transhuman Design	Poland
Myths	France
Milena Verlag	Austria
Editorial Juventud	Spain
Q24279058	Germany
Q24332460	Italy
Rees & Son	United Kingdom
G. Nicol & Son	England
Q24355690	Germany
Newbery & Carnan	England
Leigh & Son	England
Tegg & Castleman	England
Seacome & Harrison	England
Seitenhieb-Verlag	Germany
Burgis & Barfoot	England
Siedler Verlag	Germany
Trübner & Co.	England
Laytons	England
Pietro Mechetti quondam Carlo	Austria
Tibnam & Alsop	England
Q24810100	Germany
Tokyo Mangasha	Japan
Q24833539	China
Covenant Publications	United States of America
Sociedad Española de Historiografía Lingüística (SEHL)	Spain
Cranio Creations	Italy
First Touch Games	United Kingdom
Mirobole éditions	France
Lacour-Ollé	France
American News Company	United States of America
Jules Carbonel	Algeria
BuchVerlag für die Frau	Germany
Demmler Verlag	Germany
Q19278799	Germany
Q19278797	Austria
Q19279036	Germany
Gebrüder Borntraeger Verlagsbuchhandlung	Germany
Q19288055	Austria
Taz, die tageszeitung Verlagsgenossenschaft eG	Germany
Verlag Jugend & Volk	Austria
Verlag M	Germany
filmdenken Verlag	Germany
Vallentine Mitchell & Co.	United Kingdom
Paragon-Verlag	Germany
Q19365770	Italy
Medier og Ledelse	Norway
Monthly Review Press	United States of America
Q19384038	Norway
Q19389823	Norway
Q19410486	Paraguay
Q19434161	Spain
Q19434170	Spain
Imprenta de Eusebio Aguado	Spain
Librería de Fernando Fé	Spain
Félix Lajouane	Argentina
G.W. Dillingham Co.	United States of America
Garnier Hermanos	France
Gaspar y Roig	Spain
La Cultura Argentina	Argentina
Q19455480	Uruguay
Luis Tasso	Spain
Press of Rivadeneyra	Spain
Q19458706	Spain
Q19465976	Spain
The History Company	United States of America
Perlado, Páez y Cía.	Spain
Victoriano Suárez	Spain
Q19494414	Argentina
Playtonic Games	England
Classiques Garnier	France
Det Poetiske Bureaus Forlag	Denmark
Manifestolibri	Italy
Mnémosyne	France
Q19631466	Austria
Q19631633	Sweden
Bioscientifica	United Kingdom
Ketchapp	France
Gide et J. Baudry	France
Alpha Test	Italy
Q19750506	Italy
Q19750512	Italy
Gribaudo	Italy
Q19750526	Italy
Montedit	Italy
Q19750528	Italy
McGraw-Hill Education (Italy) srl	Italy
Q19750536	Italy
Springer Italy	Italy
Q19752886	Italy
Q19752958	Italy
Q19753015	Italy
5 Continents	Italy
Edizioni Albo Versorio	Italy
Babalibri	Italy
Bellavite	Italy
Q19753302	Italy
Q19753311	Italy
Q19753313	Italy
Q19753320	Italy
Q19753405	Italy
Q19753409	Italy
Q19753419	Italy
Q19753417	Italy
Q19753423	Italy
Delos Books	Italy
EdiGiò	Italy
Editoriale Delfino	Italy
Editrice Bibliografica	Italy
Q19753437	Italy
esseBi	Italy
Excelsior 1881	Italy
FBE	Italy
Q19753458	Italy
Greco & Greco	Italy
Q19753470	Italy
Q19753468	Italy
Q19753474	Italy
Q19753472	Italy
Q19753479	Italy
Q19753477	Italy
Kowalski	Italy
Q19753484	Italy
Leone Editore	Italy
Q19753489	Italy
Q19753492	Italy
Q19753498	Italy
Q19753497	Italy
Q19753503	Italy
Q19753509	Italy
Q19753512	Italy
Q19753513	Italy
Q19753519	Italy
Giorgio Nada Editore	Italy
NodoLibri	Italy
Q19753520	Italy
Q19753521	Italy
Q19753526	Italy
Q19753529	Italy
ReNoir	Italy
Q19753535	Italy
RBA Italia	Italy
Q19753555	Italy
Q19753566	Italy
Q19753564	Italy
XG Publishing	Italy
Q19753572	Italy
Arnz & Comp.	Germany
Espaces et Signes	France
Chinese Literature Press	China
Kroll	Germany
Hollitzer	Austria
Michel de Maule	France
Hunan People's Publishing House	China
Q19868748	Netherlands
Omnibus Press	England
Austin Macauley Publishers	United Kingdom
Act III Publishing	United States of America
InMediaRes Productions	United States of America
USC Annenberg Press	United States of America
LeftWord Books	India
Tulika Books	India
Q19924544	France
Goriška Mohorjeva družba	Italy
Sraka	Slovenia
Les éditions du passage	Canada
Q19952433	Belgium
Troubador Publishing	England
Q43864601	Belgium
Universidad de Ciencias Médicas de Guantánamo	Cuba
Q44023883	Germany
Q44822662	Spain
Bailly-Baillière	Spain
Q45091318	Czech Republic
Fromm Verlag	Germany
Lezhin Entertainment	South Korea
Research India Publications	India
Q45315898	Uruguay
Círculo de Lectores, S.A.	Spain
Viena Edicions	Spain
Q45866385	Germany
E. Riley	United States of America
Bermingham & Co.	United States of America
Private Division	United States of America
PCCS Books	United Kingdom
Grant Richards	United Kingdom
